2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-10/15:56:19		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-10/15:56:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-10/15:56:20		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-10/15:56:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-10/15:56:21		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-10/15:56:22		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-10/15:56:23		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-10/15:56:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-10/15:56:24		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-10/16:25:41		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-10/16:25:41		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-10/16:25:42		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-10/16:25:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-10/16:25:43		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-10/16:25:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-10/16:25:44		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-10/16:25:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-10/16:25:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/10:00:42		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/10:00:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/10:00:43		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/10:00:43		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/10:00:44		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/10:00:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/10:00:45		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/10:00:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/10:00:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/10:12:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/10:12:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/10:12:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/10:12:23		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/10:12:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/10:12:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/10:12:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/10:12:27		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/10:12:27		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/10:13:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/10:13:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/10:13:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/10:13:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/10:13:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/10:13:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/10:13:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/10:13:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/10:13:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/10:46:20		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/10:46:20		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/10:46:21		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/10:46:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/10:46:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/10:46:23		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/10:46:23		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/10:46:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/10:46:25		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-02-11/10:47:49		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-02-11/10:47:50		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-02-11/10:47:50		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-02-11/10:47:51		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-02-11/10:47:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-02-11/10:47:52		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-02-11/10:47:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-02-11/10:47:53		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-02-11/10:47:54		 wafer_29012020_050617.csv: File Transformed successfully!!
